STT,Đường dẫn,Nhóm,Loại,Tiêu đề,Mục đích,Trạng thái,Cần làm gì (→ workflow)
20,design/gdd/gdd-cross-review-2026-06-06.md,Design,Review,"Cross-GDD Review Report","Review chéo 13 GDD: mâu thuẫn, ownership, scenario","CONCERNS","W16: doc hygiene (path chết, stale tags)"
21,design/art/art-bible.md,Design,Art,"Art Bible","Visual identity: style, palette, asset standards (9 mục)","Approved","—"
22,design/ux/accessibility-requirements.md,Design,UX,"Accessibility Requirements","Yêu cầu accessibility, baseline WCAG 2.1","Seed (2026-06-06)","W14: UX spec P1-P7"
23,design/ux/interaction-patterns.md,Design,UX,"Interaction Pattern Library","Thư viện pattern tương tác (touch + Web)","Seed (2026-06-06)","W14: UX spec P1-P7"
24,design/balance/balance-check-economy-2026-06-06.md,Design,Balance,"Balance Check: Zoo Economy","Báo cáo cân bằng kinh tế + cost mults","—","W15: /balance-check pass mới"
25,design/CLAUDE.md,Design,Guide,"Design Directory","Chuẩn viết tài liệu trong design/ (8 mục GDD)","—","—"
26,docs/architecture/architecture.md,Architecture,Master,"Master Architecture (Unity 2D)","Blueprint kiến trúc tổng: assembly, layer, ADR map","Updated 2026-06-06","—"
27,docs/architecture/ADR-0001-engine-render-platforms.md,Architecture,ADR,"ADR-0001: Engine, Render Pipeline & Platforms","Chốt Unity 6.3 / URP 2D / mobile+WebGL","Accepted","—"
28,docs/architecture/ADR-0002-assembly-boundaries-domain-core.md,Architecture,ADR,"ADR-0002: Assembly Boundaries & Domain Core","Ranh giới assembly, domain engine-agnostic","Accepted","—"
29,docs/architecture/ADR-0003-game-state-mutation-pipeline.md,Architecture,ADR,"ADR-0003: Game State & Mutation Pipeline","GameState, pipeline mutation có thứ tự, EventBus","Accepted","W1 liên quan (GameController.Apply là TODO)"
30,docs/architecture/ADR-0004-save-load-format-migration.md,Architecture,ADR,"ADR-0004: Save/Load Format & Migration","Định dạng/vị trí save + lớp migration","Accepted","W7: schema thêm meters/trust"
31,docs/architecture/ADR-0005-time-model-decay-offline.md,Architecture,ADR,"ADR-0005: Time Model — Decay & Offline","Mô hình wall-clock decay + offline accrual","Accepted","W1: offline path chưa chạy"
32,docs/architecture/ADR-0006-content-scriptableobjects.md,Architecture,ADR,"ADR-0006: Content as ScriptableObjects","Content (database + tuning) qua ScriptableObject","Accepted","W3, W4: author + wire SO"
33,docs/architecture/ADR-0007-ui-toolkit-screen-pattern.md,Architecture,ADR,"ADR-0007: UI Toolkit Screen-Controller Pattern","Kiến trúc UI: UI Toolkit + screen-controller","Accepted","W14: screen hiện là monolith, chưa theo pattern"
34,docs/architecture/ADR-0008-input-system.md,Architecture,ADR,"ADR-0008: Input System Setup","Thiết lập Input System (touch/pointer)","Accepted","—"
35,docs/architecture/ADR-0009-caps-and-gate-enforcement.md,Architecture,ADR,"ADR-0009: Economy Caps & Content-Gate Enforcement","Enforce cap kinh tế + content gate","Accepted","—"
36,docs/architecture/ADR-0010-quest-progression-integrity.md,Architecture,ADR,"ADR-0010: Quest Progression Integrity","Idempotency claim quest, chống double-dip","Accepted","W9 liên quan (claim đã có, mission chưa)"
37,docs/architecture/control-manifest.md,Architecture,Manifest,"Control Manifest","Bảng rule lập trình phẳng: Required/Forbidden/Guardrails","2026-06-06","—"
38,docs/architecture/traceability-matrix.md,Architecture,Traceability,"Requirements Traceability Matrix","Ma trận truy vết GDD requirement ↔ ADR","COVERED","W16: rename → requirements-traceability"
39,docs/consistency-report-2026-06-06.md,Architecture,Review,"Consistency Check Report","Kiểm nhất quán registry ↔ GDD (12 formula, 36 const)","PASS","—"
40,docs/PROJECT-STATUS.md,Process,Status,"Project Status & Handoff","Trạng thái dự án + handoff","Pre-Production 2026-06-06","Cập nhật sau khi W1/W2 xong"
41,docs/WORKFLOW-GUIDE.md,Process,Guide,"Complete Workflow Guide","Hướng dẫn workflow đầy đủ của studio","—","—"
42,docs/COLLABORATIVE-DESIGN-PRINCIPLE.md,Process,Principle,"Collaborative Design Principle","Nguyên tắc Question→Options→Decision→Draft→Approval","2026-02-13","—"
43,docs/CLAUDE.md,Process,Guide,"Docs Directory","Chuẩn viết ADR/manifest/traceability trong docs/","—","—"
44,production/implementation-gaps.md,Production,Backlog,"Implementation Gaps & Backlog","Backlog code-vs-design + audit Unity C# 2026-06-07 (C-1..C-13)","Updated 2026-06-07","NGUỒN của workflow (C-1..C-13 → W1..W13)"
45,production/gate-checks/gate-technical-setup-to-pre-production-2026-06-06.md,Production,Gate,"Gate Check: Technical Setup → Pre-Production","Verdict gate chuyển giai đoạn","PASS","—"
46,production/project-stage-report.md,Production,Report,"Project Stage Analysis","Phân tích giai đoạn dự án hiện tại","—","—"
47,production/session-state/active.md,Production,Session,"Session State (active)","Checkpoint session hiện tại (file-backed state)","CONCERNS","—"
48,production/session-logs/session-log.md,Production,Session,"Session State (log)","Nhật ký audit session","CONCERNS","—"
49,prototypes/index.md,Prototype,Index,"Prototypes Index","Danh mục các prototype","—","—"
50,prototypes/animal-world-zoo-vertical-slice/PLAN.md,Prototype,Plan,"Vertical Slice Build Plan","Kế hoạch build vertical slice (chưa viết code)","PLANNED","—"
51,tests/README.md,Test,Doc,"Test Infrastructure","Tổng quan hạ tầng test","—","W11: backfill test 9 service"
52,tests/EditMode/README.md,Test,Doc,"Edit Mode Tests","Hướng dẫn EditMode tests (domain unit)","—","W11"
53,tests/PlayMode/README.md,Test,Doc,"Play Mode Tests","Hướng dẫn PlayMode tests (integration)","—","W11"
54,tests/evidence/README.md,Test,Doc,"Test Evidence","Lưu evidence test cho story Visual/UI","—","—"
55,tests/smoke/critical-paths.md,Test,Smoke,"Smoke Test: Critical Paths","Kịch bản smoke test critical path","—","—"
56,src/CLAUDE.md,Source,Guide,"Source Directory","Chuẩn viết code trong src/ (lưu ý: code thật ở Assets/Scripts)","—","—"
