XP FAUCET — FULL PER-LEVEL TABLE (target Lv92 in 180 days)
P(level) = round(1431 * 1.0694^level)

Level,LEVEL_XP,Delta to next,P(L) pool,Education/day (0.60*P),Daily mission each (0.05*P),Daily missions x5 (0.25*P),Show XP (level),Weekly (0.90*P),Event (4*P),Care/day,Engaged XP/day total,Day reached (engaged)
70,7040000.000000001,490000,156424,93854,7821,39106,540,140782,625696,330,197722,126
71,7530000.000000001,520000,167273,100364,8364,41818,546,150546,669092,330,211413,128
72,8050000.000000001,559999.9999999991,178875,107325,8944,44719,552,160988,715500,330,226053,131
73,8610000,600000,191282,114769,9564,47821,558,172154,765128,330,241709,133
74,9210000,630000,204549,122729,10227,51137,564,184094,818196,345,258466,136
75,9840000,660000,218736,131242,10937,54684,570,196862,874944,345,276369,138
76,10500000,800000.0000000019,233908,140345,11695,58477,576,210517,935632,345,295514,141
77,11300000.000000002,700000,250132,150079,12507,62533,582,225119,1000528,345,315987,143
78,12000000.000000002,900000,267481,160489,13374,66870,588,240733,1069924,345,337880,146
79,12900000.000000002,900000,286033,171620,14302,71508,594,257430,1144132,345,361291,148
80,13800000.000000002,900000,305872,183523,15294,76468,600,275285,1223488,360,386341,151
81,14700000.000000002,1000000,327087,196252,16354,81772,606,294378,1308348,360,413113,153
82,15700000.000000002,1099999.9999999981,349774,209864,17489,87444,612,314797,1399096,360,441741,156
83,16800000,1200000,374034,224420,18702,93509,618,336631,1496136,360,472355,158
84,18000000,1200000,399977,239986,19999,99994,624,359979,1599908,375,505107,161
85,19200000,1300000,427719,256631,21386,106930,630,384947,1710876,375,540115,163
86,20500000,1400000.0000000037,457385,274431,22869,114346,636,411647,1829540,375,577552,166
87,21900000.000000004,1500000,489109,293465,24455,122277,642,440198,1956436,375,617584,168
88,23400000.000000004,1600000,523034,313820,26152,130759,648,470731,2092136,390,660409,171
89,25000000.000000004,1700000,559311,335587,27966,139828,654,503380,2237244,390,706187,173
90,26700000.000000004,1900000,598105,358863,29905,149526,660,538295,2392420,390,755141,175
91,28600000.000000004,2000000,639589,383753,31979,159897,666,575630,2558356,390,807490,178
92,30600000.000000004,0,683950,410370,34198,170988,672,615555,2735800,405,863485,180
